old_date,DAY OF THE WEEK,business_unit,old_revenue,VOLUME,SPEND PER PERSON,date,revenue
01/10/2025,Wednesday,Distribution b2b,"1,304.00",10,130.4,2025-10-01,1304.00
01/10/2025,Wednesday,Activities,0.00,0,0,2025-10-01,0.00
01/10/2025,Wednesday,Juntos Products,0.00,0,0,2025-10-01,0.00
01/11/2025,Saturday,Juntos house,"7,736.00",84,92.1,2025-11-01,7736.00
01/11/2025,Saturday,Juntos boutique,462.50,4,115.63,2025-11-01,462.50
01/11/2025,Saturday,Picadeli,0.00,0,0,2025-11-01,0.00
01/11/2025,Saturday,Juntos farm shop,935.00,49,19.08,2025-11-01,935.00
01/11/2025,Saturday,Tasting place,"8,849.00",0,0,2025-11-01,8849.00
01/11/2025,Saturday,Distribution b2b,0.00,0,0,2025-11-01,0.00
01/11/2025,Saturday,Activities,"3,300.00",0,0,2025-11-01,3300.00
01/11/2025,Saturday,Juntos Products,0.00,0,0,2025-11-01,0.00
01/12/2025,Monday,Juntos house,0.00,0,0,2025-12-01,0.00
01/12/2025,Monday,Juntos boutique,0.00,0,0,2025-12-01,0.00
01/12/2025,Monday,Picadeli,"3,064.00",179,17.12,2025-12-01,3064.00
01/12/2025,Monday,Juntos farm shop,262.00,17,15.41,2025-12-01,262.00
01/12/2025,Monday,Tasting place,0.00,0,0,2025-12-01,0.00
01/12/2025,Monday,Distribution b2b,626.00,8,78.25,2025-12-01,626.00
01/12/2025,Monday,Activities,0.00,0,0,2025-12-01,0.00
01/12/2025,Monday,Juntos Products,0.00,0,0,2025-12-01,0.00
02/01/2025,Thursday,Juntos house,0.00,0.00,0,2025-01-02,0.00
02/01/2025,Thursday,Juntos boutique,0.00,0.00,0,2025-01-02,0.00
02/01/2025,Thursday,Picadeli,0.00,0.00,0,2025-01-02,0.00
02/01/2025,Thursday,Juntos farm shop,0.00,0.00,0,2025-01-02,0.00
02/01/2025,Thursday,Tasting place,0.00,0.00,0,2025-01-02,0.00
02/01/2025,Thursday,Distribution b2b,0.00,0.00,0,2025-01-02,0.00
02/01/2025,Thursday,Activities,0.00,0.00,0,2025-01-02,0.00
02/01/2025,Thursday,Juntos Products,0.00,0.00,0,2025-01-02,0.00
02/02/2025,Sunday,Juntos house,"3,058.00",33,92.67,2025-02-02,3058.00
02/02/2025,Sunday,Juntos boutique,394.00,3,131.33,2025-02-02,394.00
02/02/2025,Sunday,Picadeli,0.00,0,0,2025-02-02,0.00
02/02/2025,Sunday,Juntos farm shop,0.00,0,0,2025-02-02,0.00
02/02/2025,Sunday,Tasting place,0.00,0,0,2025-02-02,0.00
02/02/2025,Sunday,Distribution b2b,0.00,0,0,2025-02-02,0.00
02/02/2025,Sunday,Activities,0.00,0,0,2025-02-02,0.00
02/02/2025,Sunday,Juntos Products,0.00,0,0,2025-02-02,0.00
02/03/2025,Sunday,Juntos house,"7,485.00",63,118.81,2025-03-02,7485.00
02/03/2025,Sunday,Juntos boutique,0.00,0,0,2025-03-02,0.00
02/03/2025,Sunday,Picadeli,0.00,0,0,2025-03-02,0.00
02/03/2025,Sunday,Juntos farm shop,0.00,0,0,2025-03-02,0.00
02/03/2025,Sunday,Tasting place,0.00,0,0,2025-03-02,0.00
02/03/2025,Sunday,Distribution b2b,0.00,0,0,2025-03-02,0.00
02/03/2025,Sunday,Activities,0.00,0,0,2025-03-02,0.00
02/03/2025,Sunday,Juntos Products,0.00,0,0,2025-03-02,0.00
02/04/2025,Wednesday,Juntos house,"3,570.00",58,61.55,2025-04-02,3570.00
02/04/2025,Wednesday,Juntos boutique,596.00,5,119.2,2025-04-02,596.00
02/04/2025,Wednesday,Picadeli,"3,783.00",216,17.51,2025-04-02,3783.00
02/04/2025,Wednesday,Juntos farm shop,118.85,7,16.98,2025-04-02,118.85
02/04/2025,Wednesday,Tasting place,267.10,28,9.54,2025-04-02,267.10
02/04/2025,Wednesday,Distribution b2b,244.26,6,40.71,2025-04-02,244.26
02/04/2025,Wednesday,Activities,0.00,0,0,2025-04-02,0.00
02/04/2025,Wednesday,Juntos Products,132.58,0,0,2025-04-02,132.58
02/05/2025,Friday,Juntos house,"7,775.00",109,71.33,2025-05-02,7775.00
02/05/2025,Friday,Juntos boutique,"2,078.00",11,188.91,2025-05-02,2078.00
02/05/2025,Friday,Picadeli,"3,335.00",180,18.53,2025-05-02,3335.00
