DATE,DAY OF THE WEEK,BUISNESS UNIT,REVENUE,VOLUME,SPEND PER PERSON
09/06/2025,Monday,Juntos house,"8,813.40",101,87.26
09/06/2025,Monday,Juntos boutique,"1,154.51",14,82.47
09/06/2025,Monday,Picadeli,"4,241.91",214,19.82
09/06/2025,Monday,Juntos farm shop,0.00,0,0.00
09/06/2025,Monday,Tasting place,0.00,0,0.00
09/06/2025,Monday,Distribution b2b,"2,355.68",15,157.05
09/06/2025,Monday,Activities,302.00,0,0.00
09/06/2025,Monday,Juntos Products,240.00,0,0.00
10/06/2025,Tuesday,Juntos house,"6,279.30",75,83.72
10/06/2025,Tuesday,Juntos boutique,946.90,15,63.13
10/06/2025,Tuesday,Picadeli,"4,273.95",220,19.43
10/06/2025,Tuesday,Juntos farm shop,836.84,38,22.02
10/06/2025,Tuesday,Tasting place,892.60,38,23.49
10/06/2025,Tuesday,Distribution b2b,"2,285.63",17,134.45
10/06/2025,Tuesday,Activities,74.00,0,0.00
10/06/2025,Tuesday,Juntos Products,140.97,0,0.00
11/06/2025,Wednesday,Juntos house,"5,772.90",80,72.16
11/06/2025,Wednesday,Juntos boutique,"1,358.05",16,84.88
11/06/2025,Wednesday,Picadeli,"3,642.17",202,18.03
11/06/2025,Wednesday,Juntos farm shop,712.43,25,28.50
11/06/2025,Wednesday,Tasting place,837.40,31,27.01
11/06/2025,Wednesday,Distribution b2b,"1,288.92",11,117.17
11/06/2025,Wednesday,Activities,0.00,0,0.00
11/06/2025,Wednesday,Juntos Products,135.00,0,0.00
12/06/2025,Thursday,Juntos house,"10,481.60",110,95.29
12/06/2025,Thursday,Juntos boutique,"2,152.40",7,307.49
12/06/2025,Thursday,Picadeli,"3,451.19",192,17.97
12/06/2025,Thursday,Juntos farm shop,944.10,31,30.45
12/06/2025,Thursday,Tasting place,462.50,33,14.02
12/06/2025,Thursday,Distribution b2b,"1,551.39",12,129.28
12/06/2025,Thursday,Activities,0.00,0,0.00
12/06/2025,Thursday,Juntos Products,202.77,0,0.00
13/06/2025,Friday,Juntos house,"7,490.50",81,92.48
13/06/2025,Friday,Juntos boutique,"1,608.48",12,134.04
13/06/2025,Friday,Picadeli,"4,044.23",190,21.29
13/06/2025,Friday,Juntos farm shop,"1,030.12",33,31.22
13/06/2025,Friday,Tasting place,501.50,33,15.20
13/06/2025,Friday,Distribution b2b,"2,651.01",16,165.69
13/06/2025,Friday,Activities,322.00,0,0.00
13/06/2025,Friday,Juntos Products,141.60,0,0.00
14/06/2025,Saturday,Juntos house,"9,330.80",104,89.72
14/06/2025,Saturday,Juntos boutique,422.50,8,52.81
14/06/2025,Saturday,Picadeli,"2,454.25",113,21.72
14/06/2025,Saturday,Juntos farm shop,"2,631.88",56,47.00
14/06/2025,Saturday,Tasting place,"2,209.40",53,41.69
14/06/2025,Saturday,Distribution b2b,"1,608.40",8,201.05
14/06/2025,Saturday,Activities,0.00,0,0.00
14/06/2025,Saturday,Juntos Products,81.00,0,0.00
15/06/2025,Sunday,Juntos house,"7,685.20",95,80.90
15/06/2025,Sunday,Juntos boutique,833.60,12,69.47
15/06/2025,Sunday,Picadeli,0.00,0,0.00
15/06/2025,Sunday,Juntos farm shop,0.00,0,0.00
15/06/2025,Sunday,Tasting place,0.00,0,0.00
15/06/2025,Sunday,Distribution b2b,0.00,0,0.00
15/06/2025,Sunday,Activities,0.00,0,0.00
15/06/2025,Sunday,Juntos Products,0.00,0,0.00
16/06/2025,Monday,Juntos house,"5,879.80",72,81.66
16/06/2025,Monday,Juntos boutique,199.70,6,33.28
16/06/2025,Monday,Picadeli,"3,849.35",211,18.24
16/06/2025,Monday,Juntos farm shop,0.00,0,0.00
16/06/2025,Monday,Tasting place,0.00,0,0.00
16/06/2025,Monday,Distribution b2b,"1,763.38",13,135.64
16/06/2025,Monday,Activities,0.00,0,0.00
16/06/2025,Monday,Juntos Products,0.00,0,0.00
17/06/2025,Tuesday,Juntos house,"4,769.70",61,78.19
17/06/2025,Tuesday,Juntos boutique,718.00,9,79.78
17/06/2025,Tuesday,Picadeli,"3,646.33",197,18.51
17/06/2025,Tuesday,Juntos farm shop,"1,163.83",54,21.55
17/06/2025,Tuesday,Tasting place,582.10,40,14.55
17/06/2025,Tuesday,Distribution b2b,"1,515.63",13,116.59
17/06/2025,Tuesday,Activities,0.00,0,0.00
17/06/2025,Tuesday,Juntos Products,140.90,0,0.00
18/06/2025,Wednesday,Juntos house,"7,940.80",103,77.10
18/06/2025,Wednesday,Juntos boutique,"1,779.50",16,111.22
18/06/2025,Wednesday,Picadeli,"4,040.40",202,20.00
18/06/2025,Wednesday,Juntos farm shop,688.16,26,26.47
18/06/2025,Wednesday,Tasting place,333.00,25,13.32
18/06/2025,Wednesday,Distribution b2b,"1,786.03",15,119.07
18/06/2025,Wednesday,Activities,0.00,0,0.00
18/06/2025,Wednesday,Juntos Products,0.00,0,0.00
19/06/2025,Thursday,Juntos house,"7,028.40",83,84.68
19/06/2025,Thursday,Juntos boutique,"1,418.50",12,118.21
19/06/2025,Thursday,Picadeli,"4,036.88",185,21.82
19/06/2025,Thursday,Juntos farm shop,818.05,35,23.37
19/06/2025,Thursday,Tasting place,397.60,41,9.70
19/06/2025,Thursday,Distribution b2b,"2,377.36",17,139.84
19/06/2025,Thursday,Activities,0.00,0,0.00
19/06/2025,Thursday,Juntos Products,171.25,0,0.00
20/06/2025,Friday,Juntos house,"9,443.60",103,91.69
20/06/2025,Friday,Juntos boutique,600.20,6,100.03
20/06/2025,Friday,Picadeli,"3,872.37",197,19.66
20/06/2025,Friday,Juntos farm shop,"1,141.07",28,40.75
20/06/2025,Friday,Tasting place,326.10,24,13.59
20/06/2025,Friday,Distribution b2b,"1,313.20",11,119.38
20/06/2025,Friday,Activities,0.00,0,0.00
20/06/2025,Friday,Juntos Products,54.00,0,0.00
21/06/2025,Saturday,Juntos house,"17,343.00",80,216.79
21/06/2025,Saturday,Juntos boutique,0.00,0,0.00
21/06/2025,Saturday,Picadeli,"3,045.26",115,26.48
21/06/2025,Saturday,Juntos farm shop,"2,113.00",98,21.56
21/06/2025,Saturday,Tasting place,"4,010.80",69,58.13
21/06/2025,Saturday,Distribution b2b,"1,382.74",12,115.23
21/06/2025,Saturday,Activities,0.00,0,0.00
21/06/2025,Saturday,Juntos Products,162.00,0,0.00
22/06/2025,Sunday,Juntos house,"7,583.90",106,71.55
22/06/2025,Sunday,Juntos boutique,914.90,14,65.35
