,,,,,,,,,,,dia,BU,
SIN IVA,Año Fecha,Mes Fecha,Fecha,Serie,Área de Negocio,Centro de coste,Uds.,Importe,BU,,,,Total Día
,2024,10  Octubre,10/3/2024,CR1T,Factura simplificada CR1T,,452.65,"2,905.43 €",Picadeli,,12/31/2024,Picadeli,2177
,2024,10  Octubre,10/3/2024,AR3G,Tiquet AR3G,,411.50,"9,337.93 €",Juntos house,,12/31/2024,Tasting place,459
,2024,10  Octubre,10/4/2024,CR1T,Factura simplificada CR1T,,443.69,"2,491.12 €",Picadeli,,1/1/2025,Juntos boutique,618
,2024,10  Octubre,10/4/2024,FVA,ALBARANES DE VENTA,,263.30,710.22 €,Distribution b2b,,1/1/2025,Juntos house,7285
,2024,10  Octubre,10/4/2024,AR3G,Tiquet AR3G,,126.00,988.45 €,Juntos house,,1/2/2025,Distribution b2b,350
,2024,10  Octubre,10/4/2024,FT1G,Tiquet FT1G,,34.00,280.91 €,Tasting place,,1/2/2025,Juntos Products,37
,2024,10  Octubre,10/4/2024,CVR,FACTURAS DE ABONO DE VENTA,,-62.00,-102.48 €,Picadeli,,1/2/2025,Juntos boutique,1406
,2024,10  Octubre,10/4/2024,AVF,FACTURAS DE VENTA,,73.00,"12,728.05 €",Juntos house,,1/2/2025,Juntos farm shop,346
,2024,10  Octubre,10/4/2024,FS1T,Factura simplificada FS1T,,20.79,157.27 €,Juntos farm shop,,1/2/2025,Juntos house,10223
,2024,10  Octubre,10/5/2024,JVM,FACTURA DE VENTA MERCADO,,2.00,41.32 €,Juntos Products,,1/2/2025,Picadeli,1765
,2024,10  Octubre,10/5/2024,FT1G,Tiquet FT1G,,199.00,"1,729.09 €",Tasting place,,1/2/2025,Tasting place,116
,2024,10  Octubre,10/5/2024,FS1T,Factura simplificada FS1T,,164.74,"1,146.49 €",Juntos farm shop,,1/3/2025,Distribution b2b,877
,2024,10  Octubre,10/5/2024,FVM,FACTURAS DE VENTA MERCADOS,,216.75,"2,754.29 €",Distribution b2b,,1/3/2025,Juntos Products,20
,2024,10  Octubre,10/5/2024,AVF,FACTURAS DE VENTA,,46.00,"11,604.55 €",Juntos house,,1/3/2025,Juntos boutique,460
,2024,10  Octubre,10/5/2024,CR1T,Factura simplificada CR1T,,334.13,"2,672.92 €",Picadeli,,1/3/2025,Juntos farm shop,198
,2024,10  Octubre,10/5/2024,FVA,ALBARANES DE VENTA,,140.90,356.54 €,Distribution b2b,,1/3/2025,Juntos house,10876
,2024,10  Octubre,10/6/2024,AVF,FACTURAS DE VENTA,,161.00,"16,272.73 €",Juntos house,,1/3/2025,Picadeli,1828
,2024,10  Octubre,10/7/2024,JVF,FACTURAS DE VENTA,,6.00,111.76 €,Juntos Products,,1/3/2025,Tasting place,184
,2024,10  Octubre,10/7/2024,CR1T,Factura simplificada CR1T,,543.31,"3,288.42 €",Picadeli,,1/4/2025,Distribution b2b,2648
,2024,10  Octubre,10/7/2024,FVA,ALBARANES DE VENTA,,104.30,344.22 €,Distribution b2b,,1/4/2025,Juntos Products,21
,2024,10  Octubre,10/8/2024,FS1T,Factura simplificada FS1T,,43.64,321.43 €,Juntos farm shop,,1/4/2025,Juntos boutique,608
,2024,10  Octubre,10/8/2024,CVR,FACTURAS DE ABONO DE VENTA,,-2.50,-27.57 €,Picadeli,,1/4/2025,Juntos farm shop,1183
,2024,10  Octubre,10/8/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,2.00,48.04 €,Distribution b2b,,1/4/2025,Juntos house,8598
,2024,10  Octubre,10/8/2024,FVA,ALBARANES DE VENTA,,552.05,"1,079.89 €",Distribution b2b,,1/4/2025,Picadeli,2059
,2024,10  Octubre,10/8/2024,CR1F,Factura de venta CR1F,,2.00,17.27 €,Picadeli,,1/4/2025,Tasting place,1207
,2024,10  Octubre,10/8/2024,CR1T,Factura simplificada CR1T,,493.07,"2,852.42 €",Picadeli,,1/5/2025,Juntos Products,21
,2024,10  Octubre,10/9/2024,FVE,FACTURAS DE VENTA EVENTOS,,25.50,"2,750.00 €",Tasting place,,1/5/2025,Juntos boutique,125
,2024,10  Octubre,10/9/2024,FS1T,Factura simplificada FS1T,,52.21,363.06 €,Juntos farm shop,,1/5/2025,Juntos house,6875
,2024,10  Octubre,10/9/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,10.00,6.86 €,Distribution b2b,,1/6/2025,Juntos boutique,40
,2024,10  Octubre,10/9/2024,CR1T,Factura simplificada CR1T,,518.70,"3,091.83 €",Picadeli,,1/6/2025,Juntos house,2104
,2024,10  Octubre,10/9/2024,FVA,ALBARANES DE VENTA,,41.90,108.49 €,Distribution b2b,,1/7/2025,Distribution b2b,476
,2024,10  Octubre,10/9/2024,AVB,FACTURAS DE VENTA BOUTIQUE,,21.00,"1,326.27 €",Juntos boutique,,1/7/2025,Juntos Products,78
,2024,10  Octubre,10/9/2024,AR3G,Tiquet AR3G,,472.00,"6,813.82 €",Juntos house,,1/7/2025,Juntos farm shop,299
,2024,10  Octubre,10/9/2024,FT1G,Tiquet FT1G,,18.00,119.09 €,Tasting place,,1/7/2025,Juntos house,318
,2024,10  Octubre,10/10/2024,FS1T,Factura simplificada FS1T,,42.29,379.60 €,Juntos farm shop,,1/7/2025,Picadeli,2524
,2024,10  Octubre,10/10/2024,AR3G,Tiquet AR3G,,386.00,"6,270.58 €",Juntos house,,1/7/2025,Tasting place,91
,2024,10  Octubre,10/10/2024,FVA,ALBARANES DE VENTA,,359.62,687.66 €,Distribution b2b,,1/8/2025,Distribution b2b,294
,2024,10  Octubre,10/10/2024,CR1T,Factura simplificada CR1T,,443.66,"2,861.27 €",Picadeli,,1/8/2025,Juntos Products,60
,2024,10  Octubre,10/10/2024,FT1G,Tiquet FT1G,,48.00,808.18 €,Tasting place,,1/8/2025,Juntos farm shop,276
,2024,10  Octubre,10/10/2024,AVB,FACTURAS DE VENTA BOUTIQUE,,9.00,319.51 €,Juntos boutique,,1/8/2025,Juntos house,3182
,2024,10  Octubre,10/11/2024,CR1T,Factura simplificada CR1T,,479.08,"2,904.97 €",Picadeli,,1/8/2025,Picadeli,2125
,2024,10  Octubre,10/11/2024,FVJ,FACTURA DE VENTA JUNTOS,,2.00,-30.24 €,Distribution b2b,,1/8/2025,Tasting place,92
,2024,10  Octubre,10/11/2024,AVB,FACTURAS DE VENTA BOUTIQUE,,21.00,880.24 €,Juntos boutique,,1/9/2025,Distribution b2b,440
,2024,10  Octubre,10/11/2024,CR1F,Factura de venta CR1F,,2.00,17.27 €,Picadeli,,1/9/2025,Juntos farm shop,293
,2024,10  Octubre,10/11/2024,FT1X,Abono tiquet FT1X,,-14.00,-245.45 €,Tasting place,,1/9/2025,Juntos house,315
,2024,10  Octubre,10/11/2024,FVA,ALBARANES DE VENTA,,498.95,"1,050.74 €",Distribution b2b,,1/9/2025,Picadeli,2226
,2024,10  Octubre,10/11/2024,AR3G,Tiquet AR3G,,472.50,"7,136.64 €",Juntos house,,1/9/2025,Tasting place,187
,2024,10  Octubre,10/11/2024,FS1T,Factura simplificada FS1T,,37.21,388.96 €,Juntos farm shop,,1/10/2025,Distribution b2b,427
,2024,10  Octubre,10/11/2024,FT1G,Tiquet FT1G,,50.00,"1,090.00 €",Tasting place,,1/10/2025,Juntos farm shop,214
,2024,10  Octubre,10/11/2024,FT1F,Factura FT1F,,8.00,122.73 €,Tasting place,,1/10/2025,Picadeli,1879
,2024,10  Octubre,10/12/2024,AR3G,Tiquet AR3G,,69.00,457.09 €,Juntos house,,1/10/2025,Tasting place,145
,2024,10  Octubre,10/12/2024,AVF,FACTURAS DE VENTA,,60.00,"5,458.18 €",Juntos house,,1/11/2025,Distribution b2b,465
,2024,10  Octubre,10/12/2024,CR1T,Factura simplificada CR1T,,375.57,"2,189.85 €",Picadeli,,1/11/2025,Juntos farm shop,767
,2024,10  Octubre,10/12/2024,FVA,ALBARANES DE VENTA,,120.30,278.28 €,Distribution b2b,,1/11/2025,Picadeli,1792
,2024,10  Octubre,10/12/2024,FVM,FACTURAS DE VENTA MERCADOS,,268.25,"2,925.82 €",Distribution b2b,,1/11/2025,Tasting place,1831
,2024,10  Octubre,10/12/2024,FT1G,Tiquet FT1G,,181.00,"1,623.64 €",Tasting place,,1/13/2025,Distribution b2b,507
,2024,10  Octubre,10/12/2024,JVA,ALBARANES DE VENTA,,14.00,292.31 €,Juntos Products,,1/13/2025,Juntos Products,672
,2024,10  Octubre,10/12/2024,JVM,FACTURA DE VENTA MERCADO,,4.00,82.64 €,Juntos Products,,1/13/2025,Picadeli,2485
,2024,10  Octubre,10/12/2024,FS1T,Factura simplificada FS1T,,167.27,"1,203.02 €",Juntos farm shop,,1/14/2025,Distribution b2b,452
,2024,10  Octubre,10/13/2024,AVB,FACTURAS DE VENTA BOUTIQUE,,9.00,291.31 €,Juntos boutique,,1/14/2025,Juntos Products,37
,2024,10  Octubre,10/13/2024,AR3G,Tiquet AR3G,,334.00,"4,845.00 €",Juntos house,,1/14/2025,Juntos farm shop,194
,2024,10  Octubre,10/14/2024,CR1T,Factura simplificada CR1T,,457.79,"2,755.80 €",Picadeli,,1/14/2025,Juntos house,6364
,2024,10  Octubre,10/14/2024,FVA,ALBARANES DE VENTA,,69.50,218.25 €,Distribution b2b,,1/14/2025,Picadeli,2303
,2024,10  Octubre,10/15/2024,FS1T,Factura simplificada FS1T,,44.34,291.36 €,Juntos farm shop,,1/14/2025,Tasting place,170
,2024,10  Octubre,10/15/2024,FT1G,Tiquet FT1G,,44.00,479.09 €,Tasting place,,1/15/2025,Distribution b2b,626
,2024,10  Octubre,10/15/2024,AVT,FACTURAS DE VENTA ANTICIPOS,,1.00,"3,181.82 €",Juntos house,,1/15/2025,Juntos boutique,241
,2024,10  Octubre,10/15/2024,CR1T,Factura simplificada CR1T,,411.88,"2,539.92 €",Picadeli,,1/15/2025,Juntos farm shop,183
,2024,10  Octubre,10/15/2024,FVA,ALBARANES DE VENTA,,526.30,951.81 €,Distribution b2b,,1/15/2025,Juntos house,1701
,2024,10  Octubre,10/16/2024,FS1T,Factura simplificada FS1T,,30.98,306.10 €,Juntos farm shop,,1/15/2025,Picadeli,2079
,2024,10  Octubre,10/16/2024,FT1X,Abono tiquet FT1X,,-3.00,-15.27 €,Tasting place,,1/15/2025,Tasting place,196
,2024,10  Octubre,10/16/2024,FVM,FACTURAS DE VENTA MERCADOS,,15.00,129.86 €,Distribution b2b,,1/16/2025,Distribution b2b,237
,2024,10  Octubre,10/16/2024,FVA,ALBARANES DE VENTA,,95.50,268.30 €,Distribution b2b,,1/16/2025,Juntos boutique,46
,2024,10  Octubre,10/16/2024,CR1T,Factura simplificada CR1T,,514.44,"2,858.35 €",Picadeli,,1/16/2025,Juntos farm shop,307
,2024,10  Octubre,10/16/2024,AR3G,Tiquet AR3G,,219.50,"4,515.00 €",Juntos house,,1/16/2025,Juntos house,1051
,2024,10  Octubre,10/16/2024,FT1G,Tiquet FT1G,,29.00,245.82 €,Tasting place,,1/16/2025,Picadeli,2350
,2024,10  Octubre,10/16/2024,JVF,FACTURAS DE VENTA,,10.00,209.65 €,Juntos Products,,1/16/2025,Tasting place,265
,2024,10  Octubre,10/16/2024,AVB,FACTURAS DE VENTA BOUTIQUE,,1.00,23.14 €,Juntos boutique,,1/17/2025,Distribution b2b,435
,2024,10  Octubre,10/17/2024,AR3G,Tiquet AR3G,,367.50,"5,153.55 €",Juntos house,,1/17/2025,Juntos Products,73
,2024,10  Octubre,10/17/2024,FT1G,Tiquet FT1G,,35.00,202.91 €,Tasting place,,1/17/2025,Juntos boutique,48
,2024,10  Octubre,10/17/2024,AVB,FACTURAS DE VENTA BOUTIQUE,,15.00,331.62 €,Juntos boutique,,1/17/2025,Juntos farm shop,313
,2024,10  Octubre,10/17/2024,FS1T,Factura simplificada FS1T,,50.73,470.03 €,Juntos farm shop,,1/17/2025,Juntos house,1656
,2024,10  Octubre,10/17/2024,FVA,ALBARANES DE VENTA,,193.70,413.23 €,Distribution b2b,,1/17/2025,Picadeli,2150
,2024,10  Octubre,10/17/2024,CR1T,Factura simplificada CR1T,,470.14,"2,880.54 €",Picadeli,,1/17/2025,Tasting place,143
,2024,10  Octubre,10/17/2024,FVE,FACTURAS DE VENTA EVENTOS,,48.00,"2,068.18 €",Tasting place,,1/18/2025,Distribution b2b,853
,2024,10  Octubre,10/17/2024,JVF,FACTURAS DE VENTA,,2.00,41.32 €,Juntos Products,,1/18/2025,Juntos Products,20
,2024,10  Octubre,10/18/2024,CR1T,Factura simplificada CR1T,,482.06,"3,044.96 €",Picadeli,,1/18/2025,Juntos boutique,131
,2024,10  Octubre,10/18/2024,FVA,ALBARANES DE VENTA,,205.00,482.69 €,Distribution b2b,,1/18/2025,Juntos farm shop,1012
,2024,10  Octubre,10/18/2024,AR3G,Tiquet AR3G,,289.00,"3,918.09 €",Juntos house,,1/18/2025,Juntos house,2947
,2024,10  Octubre,10/18/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,2.00,37.25 €,Distribution b2b,,1/18/2025,Picadeli,1542
,2024,10  Octubre,10/18/2024,AVB,FACTURAS DE VENTA BOUTIQUE,,8.00,215.79 €,Juntos boutique,,1/18/2025,Tasting place,2068
,2024,10  Octubre,10/18/2024,FT1G,Tiquet FT1G,,41.00,286.36 €,Tasting place,,1/19/2025,Juntos Products,114
,2024,10  Octubre,10/18/2024,FS1T,Factura simplificada FS1T,,26.73,282.86 €,Juntos farm shop,,1/19/2025,Juntos boutique,411
,2024,10  Octubre,10/19/2024,AVF,FACTURAS DE VENTA,,3.00,136.36 €,Juntos house,,1/19/2025,Juntos house,2310
,2024,10  Octubre,10/19/2024,FT1G,Tiquet FT1G,,272.00,"2,194.55 €",Tasting place,,1/20/2025,Distribution b2b,559
,2024,10  Octubre,10/19/2024,AR3G,Tiquet AR3G,,361.50,"5,441.27 €",Juntos house,,1/20/2025,Picadeli,3548
,2024,10  Octubre,10/19/2024,CR1T,Factura simplificada CR1T,,365.47,"2,098.21 €",Picadeli,,1/21/2025,Distribution b2b,511
,2024,10  Octubre,10/19/2024,AVB,FACTURAS DE VENTA BOUTIQUE,,4.00,58.34 €,Juntos boutique,,1/21/2025,Juntos farm shop,206
,2024,10  Octubre,10/19/2024,JVM,FACTURA DE VENTA MERCADO,,4.00,86.78 €,Juntos Products,,1/21/2025,Picadeli,1923
,2024,10  Octubre,10/19/2024,FVM,FACTURAS DE VENTA MERCADOS,,315.95,"3,083.36 €",Distribution b2b,,1/21/2025,Tasting place,152
,2024,10  Octubre,10/19/2024,FS1T,Factura simplificada FS1T,,152.23,"1,184.18 €",Juntos farm shop,,1/22/2025,Distribution b2b,320
,2024,10  Octubre,10/19/2024,FVA,ALBARANES DE VENTA,,213.05,579.61 €,Distribution b2b,,1/22/2025,Juntos farm shop,111
,2024,10  Octubre,10/20/2024,AVB,FACTURAS DE VENTA BOUTIQUE,,5.00,301.10 €,Juntos boutique,,1/22/2025,Juntos house,2289
,2024,10  Octubre,10/20/2024,AR3G,Tiquet AR3G,,303.50,"4,164.27 €",Juntos house,,1/22/2025,Picadeli,1980
,2024,10  Octubre,10/21/2024,CR1T,Factura simplificada CR1T,,639.11,"3,745.66 €",Picadeli,,1/22/2025,Tasting place,125
,2024,10  Octubre,10/21/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,2.00,48.04 €,Distribution b2b,,1/23/2025,Distribution b2b,433
,2024,10  Octubre,10/21/2024,FVA,ALBARANES DE VENTA,,100.80,255.14 €,Distribution b2b,,1/23/2025,Juntos farm shop,432
,2024,10  Octubre,10/21/2024,CR1F,Factura de venta CR1F,,2.28,14.23 €,Picadeli,,1/23/2025,Juntos house,1067
,2024,10  Octubre,10/22/2024,FS1T,Factura simplificada FS1T,,34.93,246.99 €,Juntos farm shop,,1/23/2025,Picadeli,1648
,2024,10  Octubre,10/22/2024,FT1G,Tiquet FT1G,,29.00,152.55 €,Tasting place,,1/23/2025,Tasting place,229
,2024,10  Octubre,10/22/2024,JVF,FACTURAS DE VENTA,,1.00,19.83 €,Juntos Products,,1/24/2025,Distribution b2b,494
,2024,10  Octubre,10/22/2024,CR1T,Factura simplificada CR1T,,445.14,"2,330.36 €",Picadeli,,1/24/2025,Juntos boutique,73
,2024,10  Octubre,10/22/2024,FVA,ALBARANES DE VENTA,,375.70,871.07 €,Distribution b2b,,1/24/2025,Juntos farm shop,98
,2024,10  Octubre,10/23/2024,JVF,FACTURAS DE VENTA,,2.00,37.25 €,Juntos Products,,1/24/2025,Juntos house,2331
,2024,10  Octubre,10/23/2024,FVA,ALBARANES DE VENTA,,63.15,243.57 €,Distribution b2b,,1/24/2025,Picadeli,2802
,2024,10  Octubre,10/23/2024,FVM,FACTURAS DE VENTA MERCADOS,,9.00,74.56 €,Distribution b2b,,1/24/2025,Tasting place,182
,2024,10  Octubre,10/23/2024,AVB,FACTURAS DE VENTA BOUTIQUE,,13.00,479.32 €,Juntos boutique,,1/25/2025,Distribution b2b,2480
,2024,10  Octubre,10/23/2024,AR3G,Tiquet AR3G,,382.00,"5,722.77 €",Juntos house,,1/25/2025,Juntos boutique,380
,2024,10  Octubre,10/23/2024,JVM,FACTURA DE VENTA MERCADO,,1.00,21.49 €,Juntos Products,,1/25/2025,Juntos farm shop,1374
,2024,10  Octubre,10/23/2024,FT1G,Tiquet FT1G,,43.00,378.73 €,Tasting place,,1/25/2025,Juntos house,5033
,2024,10  Octubre,10/23/2024,CR1T,Factura simplificada CR1T,,470.30,"2,665.14 €",Picadeli,,1/25/2025,Picadeli,1378
,2024,10  Octubre,10/23/2024,FS1T,Factura simplificada FS1T,,67.60,536.29 €,Juntos farm shop,,1/25/2025,Tasting place,2285
,2024,10  Octubre,10/24/2024,AR3G,Tiquet AR3G,,219.50,"3,202.91 €",Juntos house,,1/26/2025,Juntos boutique,328
,2024,10  Octubre,10/24/2024,FVA,ALBARANES DE VENTA,,240.30,375.57 €,Distribution b2b,,1/26/2025,Juntos house,4292
,2024,10  Octubre,10/24/2024,CR1T,Factura simplificada CR1T,,451.92,"2,677.43 €",Picadeli,,1/27/2025,Distribution b2b,256
,2024,10  Octubre,10/24/2024,FS1T,Factura simplificada FS1T,,43.24,316.06 €,Juntos farm shop,,1/27/2025,Picadeli,2037
,2024,10  Octubre,10/24/2024,AVF,FACTURAS DE VENTA,,4.00,181.82 €,Juntos house,,1/28/2025,Distribution b2b,752
,2024,10  Octubre,10/24/2024,FS1F,Factura de venta FS1F,,0.46,18.04 €,Juntos farm shop,,1/28/2025,Juntos farm shop,319
,2024,10  Octubre,10/24/2024,AVB,FACTURAS DE VENTA BOUTIQUE,,17.00,578.07 €,Juntos boutique,,1/28/2025,Picadeli,2678
,2024,10  Octubre,10/24/2024,FT1G,Tiquet FT1G,,25.00,166.00 €,Tasting place,,1/28/2025,Tasting place,248
,2024,10  Octubre,10/25/2024,CR1T,Factura simplificada CR1T,,487.52,"3,026.49 €",Picadeli,,1/29/2025,Distribution b2b,367
,2024,10  Octubre,10/25/2024,AR3G,Tiquet AR3G,,215.00,"3,162.55 €",Juntos house,,1/29/2025,Juntos Products,172
,2024,10  Octubre,10/25/2024,AVB,FACTURAS DE VENTA BOUTIQUE,,8.00,255.70 €,Juntos boutique,,1/29/2025,Juntos boutique,73
,2024,10  Octubre,10/25/2024,FS1T,Factura simplificada FS1T,,52.02,500.76 €,Juntos farm shop,,1/29/2025,Juntos farm shop,302
,2024,10  Octubre,10/25/2024,FVA,ALBARANES DE VENTA,,342.10,715.56 €,Distribution b2b,,1/29/2025,Juntos house,2150
,2024,10  Octubre,10/25/2024,FT1G,Tiquet FT1G,,28.00,280.91 €,Tasting place,,1/29/2025,Picadeli,2233
,2024,10  Octubre,10/25/2024,JVA,ALBARANES DE VENTA,,2.00,23.80 €,Juntos Products,,1/29/2025,Tasting place,160
,2024,10  Octubre,10/26/2024,FS1T,Factura simplificada FS1T,,164.80,"1,077.88 €",Juntos farm shop,,1/30/2025,Distribution b2b,450
,2024,10  Octubre,10/26/2024,JVF,FACTURAS DE VENTA,,2.00,37.25 €,Juntos Products,,1/30/2025,Juntos boutique,85
,2024,10  Octubre,10/26/2024,FT1G,Tiquet FT1G,,149.00,"1,247.27 €",Tasting place,,1/30/2025,Juntos farm shop,145
,2024,10  Octubre,10/26/2024,JVM,FACTURA DE VENTA MERCADO,,1.00,19.83 €,Juntos Products,,1/30/2025,Juntos house,1299
,2024,10  Octubre,10/26/2024,FVA,ALBARANES DE VENTA,,59.40,252.06 €,Distribution b2b,,1/30/2025,Picadeli,2041
,2024,10  Octubre,10/26/2024,AVB,FACTURAS DE VENTA BOUTIQUE,,6.00,116.70 €,Juntos boutique,,1/30/2025,Tasting place,101
,2024,10  Octubre,10/26/2024,FVM,FACTURAS DE VENTA MERCADOS,,92.00,763.18 €,Distribution b2b,,1/31/2025,Distribution b2b,2631
,2024,10  Octubre,10/26/2024,AR3G,Tiquet AR3G,,299.00,"4,407.50 €",Juntos house,,1/31/2025,Juntos Products,88
,2024,10  Octubre,10/26/2024,CR1T,Factura simplificada CR1T,,332.63,"1,996.59 €",Picadeli,,1/31/2025,Juntos farm shop,113
,2024,10  Octubre,10/27/2024,AVB,FACTURAS DE VENTA BOUTIQUE,,18.00,630.41 €,Juntos boutique,,1/31/2025,Juntos house,2282
,2024,10  Octubre,10/27/2024,AR3G,Tiquet AR3G,,286.50,"4,162.00 €",Juntos house,,1/31/2025,Picadeli,2508
,2024,10  Octubre,10/28/2024,FVA,ALBARANES DE VENTA,,105.66,250.48 €,Distribution b2b,,1/31/2025,Tasting place,168
,2024,10  Octubre,10/28/2024,JVA,ALBARANES DE VENTA,,2.00,25.79 €,Juntos Products,,2/1/2025,Distribution b2b,2314
,2024,10  Octubre,10/28/2024,CR1T,Factura simplificada CR1T,,473.35,"2,878.39 €",Picadeli,,2/1/2025,Juntos Products,84
,2024,10  Octubre,10/29/2024,CR1T,Factura simplificada CR1T,,383.89,"2,401.43 €",Picadeli,,2/1/2025,Juntos farm shop,1677
,2024,10  Octubre,10/29/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,2.00,48.04 €,Distribution b2b,,2/1/2025,Juntos house,3423
,2024,10  Octubre,10/29/2024,FT1G,Tiquet FT1G,,38.00,345.45 €,Tasting place,,2/1/2025,Picadeli,1423
,2024,10  Octubre,10/29/2024,FS1T,Factura simplificada FS1T,,43.16,279.09 €,Juntos farm shop,,2/1/2025,Tasting place,2937
,2024,10  Octubre,10/29/2024,FVA,ALBARANES DE VENTA,,199.50,456.52 €,Distribution b2b,,2/2/2025,Juntos boutique,326
,2024,10  Octubre,10/30/2024,CR1T,Factura simplificada CR1T,,379.67,"2,146.38 €",Picadeli,,2/2/2025,Juntos house,2780
,2024,10  Octubre,10/30/2024,FVM,FACTURAS DE VENTA MERCADOS,,14.00,189.95 €,Distribution b2b,,2/3/2025,Distribution b2b,313
,2024,10  Octubre,10/30/2024,FS1T,Factura simplificada FS1T,,35.85,236.46 €,Juntos farm shop,,2/3/2025,Juntos house,3182
,2024,10  Octubre,10/30/2024,FVA,ALBARANES DE VENTA,,212.40,431.50 €,Distribution b2b,,2/3/2025,Picadeli,2943
,2024,10  Octubre,10/30/2024,AR3G,Tiquet AR3G,,303.00,"4,197.73 €",Juntos house,,2/4/2025,Distribution b2b,446
,2024,10  Octubre,10/30/2024,AVB,FACTURAS DE VENTA BOUTIQUE,,1.00,29.75 €,Juntos boutique,,2/4/2025,Juntos farm shop,291
,2024,10  Octubre,10/30/2024,AVT,FACTURAS DE VENTA ANTICIPOS,,1.00,"3,181.82 €",Juntos house,,2/4/2025,Picadeli,2581
,2024,10  Octubre,10/30/2024,FT1G,Tiquet FT1G,,55.00,407.64 €,Tasting place,,2/4/2025,Tasting place,218
,2024,10  Octubre,10/30/2024,JVA,ALBARANES DE VENTA,,2.00,23.80 €,Juntos Products,,2/5/2025,Distribution b2b,513
,2024,10  Octubre,10/31/2024,JVF,FACTURAS DE VENTA,,3.00,94.28 €,Juntos Products,,2/5/2025,Juntos Products,98
,2024,10  Octubre,10/31/2024,CVF,FACTURAS DE VENTA,,211.38,"1,065.38 €",Picadeli,,2/5/2025,Juntos boutique,86
,2024,10  Octubre,10/31/2024,AR3G,Tiquet AR3G,,297.50,"5,169.09 €",Juntos house,,2/5/2025,Juntos farm shop,420
,2024,10  Octubre,10/31/2024,FVA,ALBARANES DE VENTA,,250.50,541.16 €,Distribution b2b,,2/5/2025,Juntos house,1572
,2024,10  Octubre,10/31/2024,AVB,FACTURAS DE VENTA BOUTIQUE,,2.00,56.11 €,Juntos boutique,,2/5/2025,Picadeli,2080
,2024,10  Octubre,10/31/2024,FS1T,Factura simplificada FS1T,,52.96,571.90 €,Juntos farm shop,,2/5/2025,Tasting place,231
,2024,10  Octubre,10/31/2024,CR1T,Factura simplificada CR1T,,392.07,"2,298.04 €",Picadeli,,2/6/2025,Distribution b2b,309
,2024,10  Octubre,10/31/2024,JVA,ALBARANES DE VENTA,,1.00,11.90 €,Juntos Products,,2/6/2025,Juntos Products,196
,2024,10  Octubre,10/31/2024,FVR,FACTURAS RECTIFICATIVAS VENTA,,-182.19,"-1,850.31 €",Distribution b2b,,2/6/2025,Juntos farm shop,263
,2024,10  Octubre,10/31/2024,FT1G,Tiquet FT1G,,58.00,426.00 €,Tasting place,,2/6/2025,Juntos house,2161
,2024,10  Octubre,10/31/2024,FVQ,FACTURA VENTA SERVICIOS,,70.00,"2,420.00 €",Distribution b2b,,2/6/2025,Picadeli,2439
,2024,10  Octubre,10/31/2024,FVJ,FACTURA DE VENTA JUNTOS,,199.19,"2,050.06 €",Distribution b2b,,2/6/2025,Tasting place,363
,2024,10  Octubre,10/31/2024,CVR,FACTURAS DE ABONO DE VENTA,,-245.38,"-1,121.58 €",Picadeli,,2/7/2025,Distribution b2b,588
,2024,11  Noviembre,11/1/2024,AR3G,Tiquet AR3G,,341.00,"5,473.73 €",Juntos house,,2/7/2025,Juntos farm shop,294
,2024,11  Noviembre,11/1/2024,FVE,FACTURAS DE VENTA EVENTOS,,86.00,"2,423.64 €",Tasting place,,2/7/2025,Juntos house,2835
,2024,11  Noviembre,11/1/2024,JVF,FACTURAS DE VENTA,,1.00,19.83 €,Juntos Products,,2/7/2025,Picadeli,2484
,2024,11  Noviembre,11/1/2024,FVM,FACTURAS DE VENTA MERCADOS,,7.00,46.36 €,Distribution b2b,,2/7/2025,Tasting place,150
,2024,11  Noviembre,11/1/2024,AVB,FACTURAS DE VENTA BOUTIQUE,,1.00,29.75 €,Juntos boutique,,2/8/2025,Distribution b2b,1791
,2024,11  Noviembre,11/1/2024,FVQ,FACTURA VENTA SERVICIOS,,10.00,216.30 €,Distribution b2b,,2/8/2025,Juntos Products,41
,2024,11  Noviembre,11/1/2024,FS1T,Factura simplificada FS1T,,55.15,493.42 €,Juntos farm shop,,2/8/2025,Juntos farm shop,1659
,2024,11  Noviembre,11/1/2024,CR1T,Factura simplificada CR1T,,263.98,"1,917.23 €",Picadeli,,2/8/2025,Juntos house,4654
,2024,11  Noviembre,11/2/2024,AR3G,Tiquet AR3G,,332.50,"5,160.27 €",Juntos house,,2/8/2025,Picadeli,1776
,2024,11  Noviembre,11/2/2024,FT1G,Tiquet FT1G,,278.00,"2,351.55 €",Tasting place,,2/8/2025,Tasting place,2091
,2024,11  Noviembre,11/2/2024,FVA,ALBARANES DE VENTA,,121.05,200.74 €,Distribution b2b,,2/9/2025,Juntos boutique,219
,2024,11  Noviembre,11/2/2024,CR1T,Factura simplificada CR1T,,286.87,"1,965.66 €",Picadeli,,2/9/2025,Juntos house,5840
,2024,11  Noviembre,11/2/2024,FVM,FACTURAS DE VENTA MERCADOS,,192.80,"2,318.35 €",Distribution b2b,,2/10/2025,Distribution b2b,227
